Year,Cap
1984-85,"$3,600,000.00"
1985-86,"$4,233,000.00"
1986-87,"$4,945,000.00"
1987-88,"$6,164,000.00"
1988-89,"$7,232,000.00"
1989-90,"$9,802,000.00"
1990-91,"$11,871,000.00"
1991-92,"$12,500,000.00"
1992-93,"$14,000,000.00"
1993-94,"$15,175,000.00"
1994-95,"$15,964,000.00"
1995-96,"$23,000,000.00"
1996-97,"$24,363,000.00"
1997-98,"$26,900,000.00"
1998-99,"$30,000,000.00"
1999-00,"$34,000,000.00"
2000-01,"$35,500,000.00"
2001-02,"$42,500,000.00"
2002-03,"$40,271,000.00"
2003-04,"$43,840,000.00"
2004-05,"$43,870,000.00"
2005-06,"$49,500,000.00"
2006-07,"$53,135,000.00"
2007-08,"$55,630,000.00"
2008-09,"$58,680,000.00"
2009-10,"$57,700,000.00"
2010-11,"$58,044,000.00"
2011-12,"$58,044,000.00"
2012-13,"$58,044,000.00"
2013-14,"$58,679,000.00"
2014-15,"$63,065,000.00"
2015-16,"$70,000,000.00"
2016-17,"$94,143,000.00"
2017-18,"$99,093,000.00"
2018-19,"$101,000,000.00"
2019-20,"$108,000,000.00"
2020-21,"$113,400,000.00"
2021-22,"$119,070,000.00"
2022-23,"$125,024,000.00"
2023-24,"$131,275,000.00"
